dataset,designation,prob,label,Depth_ppm,P_days,Teff_K,Rp_Re,Dur_hr,Rstar_Rsun
KOI,K02926.02,0.9514563106796117,1.0,1223.3,5.53609368,3891.0,2.2,2.2942,0.564
KOI,K01588.01,0.9514563106796117,1.0,532.8,3.517494725,4132.0,1.42,1.5639,0.564
KOI,K02926.01,0.9514563106796117,1.0,1617.1,12.2854718,3891.0,2.21,2.996,0.564
KOI,K05359.01,0.9514563106796117,1.0,869.0,2.7200197,3939.0,1.53,1.874,0.527
KOI,K00812.02,0.9514563106796117,1.0,1494.7,20.06036336,3950.0,1.96,3.3203,0.493
KOI,K08261.01,0.9514563106796117,0.0,1064.0,85.9770426,3710.0,1.46,1.919,0.452
KOI,K00775.01,0.9514563106796117,1.0,1127.1,16.38489988,4126.0,2.0,3.0249,0.615
KOI,K00784.01,0.9514563106796117,1.0,1219.8,19.27153892,4077.0,1.93,2.7594,0.56
KOI,K00775.02,0.9514563106796117,1.0,1306.1,7.8774163,4126.0,2.16,2.0805,0.615
KOI,K00812.04,0.9514563106796117,1.0,520.8,7.82502168,3950.0,1.2,2.186,0.493
KOI,K04957.02,0.9514563106796117,1.0,346.2,4.98792404,3606.0,0.73,1.618,0.395
KOI,K02835.01,0.9514563106796117,1.0,691.2,6.30922043,4380.0,1.37,1.3251,0.53
KOI,K01596.01,0.9285714285714286,1.0,406.5,5.92365747,3883.0,0.99,2.6302,0.496
KOI,K01584.01,0.9285714285714286,1.0,505.6,5.87063416,4166.0,1.44,2.5736,0.612
KOI,K07952.01,0.9285714285714286,0.0,158.0,3.850304552,3274.0,0.28,1.5337,0.224
KOI,K00255.02,0.9285714285714286,1.0,180.5,13.6032081,3780.0,0.75,2.592,0.511
KOI,K01475.03,0.9285714285714286,1.0,434.3,4.72941177,4224.0,1.22,2.234,0.603
KOI,K03444.02,0.9285714285714286,1.0,3146.7,60.32668824,3705.0,4.98,1.6864,0.529
KOI,K00736.02,0.9285714285714286,1.0,601.3,6.73893544,4126.0,1.44,2.813,0.602
KOI,K03377.01,0.9285714285714286,1.0,375.8,10.0100312,4338.0,0.99,1.35,0.508
KOI,K07182.01,0.9285714285714286,1.0,653.8,6.853888,4199.0,1.74,2.561,0.684
