dataset,designation,prob,label,Depth_ppm,Dur_hr,Rstar_Rsun,P_days,Rp_Re,Teff_K
KOI,K02626.01,0.9514563106796117,1.0,913.3,4.307,0.398,38.0970717,1.58,3554.0
KOI,K00248.03,0.9514563106796117,1.0,852.8,1.5997,0.539,2.576571021,1.57,3834.0
KOI,K04987.01,0.9514563106796117,0.0,731.0,3.549,0.387,12.5748872,1.03,3552.0
KOI,K01900.01,0.9514563106796117,1.0,430.1,2.1397,0.56,5.18498961,1.15,4325.0
KOI,K00448.01,0.9514563106796117,1.0,1155.9,2.6446,0.5,10.13958818,1.68,3893.0
KOI,K00952.04,0.9514563106796117,1.0,614.1,1.6776,0.498,2.896005211,1.23,3731.0
KOI,K01024.01,0.9514563106796117,1.0,820.1,1.8923,0.632,5.747711909,1.86,4252.0
KOI,K00952.03,0.9514563106796117,1.0,1925.1,3.3002,0.498,22.78078241,2.17,3731.0
KOI,K01427.01,0.9514563106796117,1.0,599.7,1.9588,0.517,2.613020421,1.5,3883.0
KOI,K02130.01,0.9514563106796117,1.0,871.5,2.309,0.587,16.85592593,1.7,3967.0
KOI,K00250.03,0.9514563106796117,1.0,507.0,1.8717,0.537,3.543919702,1.21,3879.0
KOI,K02650.02,0.9514563106796117,1.0,359.3,1.716,0.521,7.05429483,1.0,3765.0
KOI,K01833.02,0.9514563106796117,1.0,1175.0,1.4346,0.572,7.68433346,2.58,4402.0
KOI,K01408.01,0.9514563106796117,1.0,510.6,3.3094,0.553,14.53410833,1.36,3957.0
KOI,K02057.01,0.9514563106796117,1.0,401.2,2.1604,0.564,5.94565516,1.12,3974.0
KOI,K07622.01,0.9514563106796117,0.0,627.1,2.065,0.62,36.2671673,1.5,4264.0
KOI,K00663.01,0.9514563106796117,1.0,536.7,1.8559,0.553,2.755637216,1.37,4121.0
KOI,K06925.01,0.9514563106796117,1.0,331.0,2.162,0.525,12.9489256,0.94,3867.0
KOI,K01266.01,0.9514563106796117,1.0,915.6,3.9908,0.492,11.41926141,1.48,3823.0
KOI,K01427.02,0.9514563106796117,1.0,221.0,2.057,0.517,4.88446644,0.84,3883.0
KOI,K00314.03,0.9514563106796117,1.0,137.6,2.0138,0.503,10.31282204,0.59,3846.0
KOI,K01874.02,0.9514563106796117,1.0,505.5,2.1362,0.545,7.41634701,1.24,4156.0
KOI,K01940.01,0.9514563106796117,1.0,884.7,1.5929,0.586,10.99470891,1.71,4302.0
KOI,K06276.01,0.9514563106796117,1.0,248.0,1.89,0.41,3.09872834,0.64,3628.0
KOI,K01404.01,0.9514563106796117,1.0,781.3,3.2208,0.45,13.32389352,1.26,3751.0
KOI,K01403.01,0.9514563106796117,1.0,995.3,3.0331,0.54,18.75470238,1.67,3976.0
KOI,K01879.01,0.9514563106796117,1.0,3157.4,2.1727,0.565,22.08551599,3.34,3828.0
KOI,K00251.02,0.9514563106796117,1.0,245.3,1.768,0.508,5.77440326,0.8,3808.0
