dataset,designation,prob,label,Rp_Re,Depth_ppm,P_days,Dur_hr,Rstar_Rsun,Teff_K
KOI,K07617.01,0.9514563106796117,1.0,0.64,297.9,12.9284553,2.49,0.375,3578.0
KOI,K02006.01,0.9514563106796117,1.0,0.81,262.5,3.27344784,1.7292,0.496,3758.0
KOI,K01867.01,0.9514563106796117,1.0,1.11,495.1,2.549562652,1.6999,0.506,3716.0
KOI,K00250.02,0.9514563106796117,1.0,2.64,2054.8,17.25121397,2.0371,0.537,3879.0
KOI,K01085.01,0.9514563106796117,1.0,0.9,306.8,7.71790675,1.84,0.509,3975.0
KOI,K00781.01,0.9514563106796117,1.0,2.65,2804.5,11.59822233,2.5237,0.473,3688.0
KOI,K05831.01,0.9514563106796117,1.0,1.75,954.0,10.552241908,2.7355,0.585,4031.0
KOI,K02926.02,0.9514563106796117,1.0,2.2,1223.3,5.53609368,2.2942,0.564,3891.0
KOI,K01588.01,0.9514563106796117,1.0,1.42,532.8,3.517494725,1.5639,0.564,4132.0
KOI,K02926.01,0.9514563106796117,1.0,2.21,1617.1,12.2854718,2.996,0.564,3891.0
KOI,K05359.01,0.9514563106796117,1.0,1.53,869.0,2.7200197,1.874,0.527,3939.0
KOI,K00812.02,0.9514563106796117,1.0,1.96,1494.7,20.06036336,3.3203,0.493,3950.0
KOI,K08261.01,0.9514563106796117,0.0,1.46,1064.0,85.9770426,1.919,0.452,3710.0
KOI,K00775.01,0.9514563106796117,1.0,2.0,1127.1,16.38489988,3.0249,0.615,4126.0
KOI,K00784.01,0.9514563106796117,1.0,1.93,1219.8,19.27153892,2.7594,0.56,4077.0
KOI,K00775.02,0.9514563106796117,1.0,2.16,1306.1,7.8774163,2.0805,0.615,4126.0
KOI,K00812.04,0.9514563106796117,1.0,1.2,520.8,7.82502168,2.186,0.493,3950.0
KOI,K04957.02,0.9514563106796117,1.0,0.73,346.2,4.98792404,1.618,0.395,3606.0
KOI,K02835.01,0.9514563106796117,1.0,1.37,691.2,6.30922043,1.3251,0.53,4380.0
KOI,K01596.01,0.9285714285714286,1.0,0.99,406.5,5.92365747,2.6302,0.496,3883.0
KOI,K01584.01,0.9285714285714286,1.0,1.44,505.6,5.87063416,2.5736,0.612,4166.0
KOI,K07952.01,0.9285714285714286,0.0,0.28,158.0,3.850304552,1.5337,0.224,3274.0
KOI,K00255.02,0.9285714285714286,1.0,0.75,180.5,13.6032081,2.592,0.511,3780.0
KOI,K01475.03,0.9285714285714286,1.0,1.22,434.3,4.72941177,2.234,0.603,4224.0
KOI,K03444.02,0.9285714285714286,1.0,4.98,3146.7,60.32668824,1.6864,0.529,3705.0
KOI,K00736.02,0.9285714285714286,1.0,1.44,601.3,6.73893544,2.813,0.602,4126.0
KOI,K03377.01,0.9285714285714286,1.0,0.99,375.8,10.0100312,1.35,0.508,4338.0
KOI,K07182.01,0.9285714285714286,1.0,1.74,653.8,6.853888,2.561,0.684,4199.0
KOI,K04808.01,0.9285714285714286,1.0,0.65,254.4,2.40174996,1.413,0.399,3606.0
KOI,K07630.01,0.9285714285714286,1.0,0.78,199.0,16.2982201,2.558,0.521,3905.0
KOI,K03119.01,0.9285714285714286,1.0,0.94,1546.8,2.184437698,1.0422,0.25,3421.0
KOI,K02174.01,0.9285714285714286,1.0,2.44,781.8,6.69332825,2.311,0.637,4245.0
KOI,K02992.01,0.9285714285714286,1.0,2.03,1270.7,82.6595174,3.48,0.553,3952.0
KOI,K00503.01,0.9285714285714286,1.0,2.28,1468.6,8.22241355,2.71,0.615,4213.0
KOI,K00877.02,0.9285714285714286,1.0,2.18,1250.6,12.03987488,2.7363,0.633,4261.0
KOI,K00877.01,0.9285714285714286,1.0,2.33,1410.7,5.95489993,2.3892,0.633,4261.0
KOI,K02114.01,0.9285714285714286,1.0,2.19,684.0,4.421566535,2.1229,0.697,4299.0
KOI,K02015.01,0.9285714285714286,0.0,1.84,688.6,5.73865933,4.051,0.509,3841.0
KOI,K00854.01,0.9285714285714286,1.0,1.94,1626.0,56.0560754,4.685,0.491,3593.0
KOI,K00958.01,0.9285714285714286,1.0,2.53,1300.7,21.76129812,1.243,0.72,4859.0
KOI,K01895.01,0.9285714285714286,1.0,1.87,1320.3,8.45746636,2.2906,0.524,4347.0
KOI,K01577.01,0.9285714285714286,1.0,1.41,599.6,2.806243488,1.6271,0.581,4153.0
KOI,K00430.01,0.9285714285714286,1.0,2.53,1709.0,12.37646897,2.7075,0.607,4200.0
KOI,K01895.03,0.9285714285714286,1.0,1.84,1262.0,32.1340014,2.691,0.524,4347.0
