dataset,designation,prob,label,Rstar_Rsun,Rp_Re,P_days,Depth_ppm,Teff_K,Dur_hr
KOI,K01058.01,0.9514563106796117,0.0,0.183,5.85,5.670155713,536.7,3337.0,0.9361
KOI,K00870.01,0.9514563106796117,1.0,0.57,1.73,5.912273234,961.4,4072.0,2.3254
KOI,K00877.03,0.9514563106796117,1.0,0.633,1.42,20.83762895,439.0,4261.0,2.3734
KOI,K00610.01,0.9514563106796117,1.0,0.595,1.82,14.28228147,983.2,4102.0,2.6588
KOI,K00870.02,0.9514563106796117,1.0,0.57,1.65,8.98581901,881.3,4072.0,2.8606
KOI,K02626.01,0.9514563106796117,1.0,0.398,1.58,38.0970717,913.3,3554.0,4.307
KOI,K00248.03,0.9514563106796117,1.0,0.539,1.57,2.576571021,852.8,3834.0,1.5997
KOI,K04987.01,0.9514563106796117,0.0,0.387,1.03,12.5748872,731.0,3552.0,3.549
KOI,K01900.01,0.9514563106796117,1.0,0.56,1.15,5.18498961,430.1,4325.0,2.1397
KOI,K00448.01,0.9514563106796117,1.0,0.5,1.68,10.13958818,1155.9,3893.0,2.6446
KOI,K00952.04,0.9514563106796117,1.0,0.498,1.23,2.896005211,614.1,3731.0,1.6776
KOI,K01024.01,0.9514563106796117,1.0,0.632,1.86,5.747711909,820.1,4252.0,1.8923
KOI,K00952.03,0.9514563106796117,1.0,0.498,2.17,22.78078241,1925.1,3731.0,3.3002
KOI,K01427.01,0.9514563106796117,1.0,0.517,1.5,2.613020421,599.7,3883.0,1.9588
KOI,K02130.01,0.9514563106796117,1.0,0.587,1.7,16.85592593,871.5,3967.0,2.309
KOI,K00250.03,0.9514563106796117,1.0,0.537,1.21,3.543919702,507.0,3879.0,1.8717
KOI,K02650.02,0.9514563106796117,1.0,0.521,1.0,7.05429483,359.3,3765.0,1.716
KOI,K01833.02,0.9514563106796117,1.0,0.572,2.58,7.68433346,1175.0,4402.0,1.4346
KOI,K01408.01,0.9514563106796117,1.0,0.553,1.36,14.53410833,510.6,3957.0,3.3094
KOI,K02057.01,0.9514563106796117,1.0,0.564,1.12,5.94565516,401.2,3974.0,2.1604
KOI,K07622.01,0.9514563106796117,0.0,0.62,1.5,36.2671673,627.1,4264.0,2.065
KOI,K00663.01,0.9514563106796117,1.0,0.553,1.37,2.755637216,536.7,4121.0,1.8559
KOI,K06925.01,0.9514563106796117,1.0,0.525,0.94,12.9489256,331.0,3867.0,2.162
KOI,K01266.01,0.9514563106796117,1.0,0.492,1.48,11.41926141,915.6,3823.0,3.9908
KOI,K01427.02,0.9514563106796117,1.0,0.517,0.84,4.88446644,221.0,3883.0,2.057
KOI,K00314.03,0.9514563106796117,1.0,0.503,0.59,10.31282204,137.6,3846.0,2.0138
KOI,K01874.02,0.9514563106796117,1.0,0.545,1.24,7.41634701,505.5,4156.0,2.1362
KOI,K01940.01,0.9514563106796117,1.0,0.586,1.71,10.99470891,884.7,4302.0,1.5929
KOI,K06276.01,0.9514563106796117,1.0,0.41,0.64,3.09872834,248.0,3628.0,1.89
KOI,K01404.01,0.9514563106796117,1.0,0.45,1.26,13.32389352,781.3,3751.0,3.2208
KOI,K01403.01,0.9514563106796117,1.0,0.54,1.67,18.75470238,995.3,3976.0,3.0331
KOI,K01879.01,0.9514563106796117,1.0,0.565,3.34,22.08551599,3157.4,3828.0,2.1727
KOI,K00251.02,0.9514563106796117,1.0,0.508,0.8,5.77440326,245.3,3808.0,1.768
KOI,K03444.01,0.9514563106796117,1.0,0.529,0.76,12.67143692,215.8,3705.0,2.498
KOI,K01298.01,0.9514563106796117,1.0,0.582,2.15,11.00817635,1462.5,4141.0,2.013
KOI,K00663.02,0.9514563106796117,1.0,0.553,1.58,20.30652862,715.4,4121.0,2.8014
KOI,K08037.01,0.9514563106796117,1.0,0.45,0.72,3.65034525,253.2,3704.0,1.527
KOI,K02715.03,0.9514563106796117,1.0,0.503,1.78,5.72084599,1316.0,3640.0,2.744
